quartile,mean_profit,lambda_may
0.1,-4015.1359073142453,0
0.1,-4015.017486878578,0
0.1,-4015.0518466281314,0
0.1,-4015.1786504407587,0
0.1,-4015.067824779032,0
0.1,-4015.0647651159165,0
0.1,-4015.0598930023807,0
0.1,-4015.0060259936517,0
0.1,-4015.125540690741,0
0.1,-4015.0104613715835,0
0.1,-4015.127984173219,0
0.1,-4015.0437879165784,0
0.1,-4014.9930243021345,0
0.1,-4015.0949651964393,0
0.1,-4015.0494929198644,0
0.1,-4015.088519295337,0
0.1,-4015.1185868131593,0
0.1,-4015.0445914902757,0
0.1,-4015.040538638165,0
0.1,-4015.1010097831468,0
0.1,-4014.986950782458,0
0.1,-4015.044579985154,0
0.1,-4015.0153805984414,0
0.1,-4015.098424260435,0
0.1,-4015.044541419048,0
0.1,-4015.016962700899,0
0.1,-4015.024951244865,0
0.1,-4015.054119111936,0
0.1,-4015.0693929101626,0
0.1,-4015.0036314374074,0
0.1,-4015.0202234079816,0
0.1,-4015.030639119861,0
0.1,-4015.0611028668477,0
0.1,-4015.047204074876,0
0.1,-4015.059862132867,0
0.1,-4015.096434561622,0
0.1,-4015.0292995240698,0
0.1,-4015.0864296797135,0
0.1,-4015.084030209996,0
0.1,-4015.0644461687452,0
0.1,-4015.022075914566,0
0.1,-4015.0454907764156,0
0.1,-4015.057164527667,0
0.1,-4015.0319380627775,0
0.1,-4015.0625761189663,0
0.1,-4015.065551685675,0
0.1,-4015.020403219352,0
0.1,-4015.07284083816,0
0.1,-4015.0948275508467,0
0.1,-4015.1046740478873,0
0.1,-4015.0468913210184,0
0.1,-4015.0382958369582,0
0.1,-4015.070988248843,0
0.1,-4015.0474797126913,0
0.1,-4015.0287867382626,0
0.1,-4014.9837809003097,0
0.1,-4015.0545753685706,0
0.1,-4015.0945481198996,0
0.1,-4015.0472707164436,0
0.1,-4015.033567530196,0
0.1,-4015.016762490388,0
0.1,-4015.123797248675,0
0.1,-4015.0474080429253,0
0.1,-4015.090303931286,0
0.1,-4015.0951389391785,0
0.1,-4015.040631812759,0
0.1,-4015.112623015302,0
0.1,-4015.069652687773,0
0.1,-4015.137918026277,0
0.1,-4015.036896466343,0
0.1,-4015.0424433136473,0
0.1,-4015.0319241270054,0
0.1,-4015.0437651858015,0
0.1,-4015.0583791250197,0
0.1,-4015.079164874518,0
0.1,-4015.0476007273346,0
0.1,-4015.1390858392265,0
0.1,-4015.038905836972,0
0.1,-4015.112493269135,0
0.1,-4015.0927630112615,0
0.1,-4015.02209723466,0
0.1,-4015.0283868825,0
0.1,-4015.1459175927994,0
0.1,-4014.984160471546,0
0.1,-4015.084093081913,0
0.1,-4015.0559535417447,0
0.1,-4015.05130490945,0
0.1,-4015.046848902006,0
0.1,-4015.0444300698073,0
0.1,-4015.0931518296075,0
0.1,-4014.9907030294385,0
0.1,-4015.0128504533272,0
0.1,-4015.1098654476814,0
0.1,-4015.0634009011715,0
0.1,-4015.105016232821,0
0.1,-4015.023994558848,0
0.1,-4015.0862417929384,0
0.1,-4015.1047071592106,0
0.1,-4015.0861634026555,0
0.1,-4015.0370301750263,0
0.2,-4015.2247874278623,0
0.2,-4015.0458555885066,0
0.2,-4015.288243090254,0
0.2,-4015.2805536177216,0
0.2,-4015.133429798412,0
0.2,-4015.2662669653278,0
0.2,-4015.395959110219,0
0.2,-4015.2766392171075,0
0.2,-4015.1676643192845,0
0.2,-4015.453496900256,0
0.2,-4015.1705747396586,0
0.2,-4015.1882499200788,0
0.2,-4015.276254755926,0
0.2,-4015.418140682064,0
0.2,-4015.108183434624,0
0.2,-4015.0892878248333,0
0.2,-4015.2895412030625,0
0.2,-4015.109546778172,0
0.2,-4015.2373719503516,0
0.2,-4015.536884975285,0
0.2,-4015.2411369796414,0
0.2,-4015.1072792334653,0
0.2,-4015.2976115050706,0
0.2,-4015.4453719521944,0
0.2,-4015.295842303474,0
0.2,-4015.1425370851675,0
0.2,-4015.195855858232,0
0.2,-4015.0831624384923,0
0.2,-4015.1086703535548,0
0.2,-4015.211857766899,0
0.2,-4015.403216544565,0
0.2,-4015.47009857459,0
0.2,-4015.527700857248,0
0.2,-4015.301266037353,0
0.2,-4015.299344264582,0
0.2,-4015.3714708220477,0
0.2,-4015.1137130278257,0
0.2,-4015.2416561762,0
0.2,-4015.1113318100156,0
0.2,-4015.121036571274,0
0.2,-4015.5283242516625,0
0.2,-4015.1848992619484,0
0.2,-4015.2841465574593,0
0.2,-4015.1215018172443,0
0.2,-4015.179979351344,0
0.2,-4015.4861411022634,0
0.2,-4015.4632698184473,0
0.2,-4015.114927704054,0
0.2,-4015.450316831662,0
0.2,-4015.45216743657,0
0.2,-4015.096098569703,0
0.2,-4015.4348479833393,0
0.2,-4015.2503238029035,0
0.2,-4015.285160112843,0
0.2,-4015.331040828054,0
0.2,-4015.2739931743945,0
0.2,-4015.357425801292,0
0.2,-4015.1243303594993,0
0.2,-4015.1244832287102,0
0.2,-4015.1561285005064,0
0.2,-4015.298009915843,0
0.2,-4015.2160573606775,0
0.2,-4015.3756028850526,0
0.2,-4015.2642431494355,0
0.2,-4015.1475419408434,0
0.2,-4015.2276293833443,0
0.2,-4015.498040523778,0
