quartile,mean_profit,lambda_may
0.1,-4011.8964205369884,0
0.1,-3905.4069841426062,0
0.1,-4011.898089093144,0
0.1,-4011.90175439962,0
0.1,-4011.8962878282814,0
0.1,-4011.896425685849,0
0.1,-4011.8986406256176,0
0.1,-4011.8965414740965,0
0.1,-4011.8963618958437,0
0.1,-4011.900803984697,0
0.1,-4011.89834776572,0
0.1,-4011.8945605501876,0
0.1,-4011.8992068203183,0
0.1,-4011.8971091230214,0
0.1,-3903.789715000558,0
0.1,-4011.8974055137605,0
0.1,-4011.899249122745,0
0.1,-4011.9006830475696,0
0.1,-4011.8945605501876,0
0.1,-4011.9012553921684,0
0.1,-3905.0989328774535,0
0.1,-4011.8946420567977,0
0.1,-4011.898226828603,0
0.1,-4011.899039859171,0
0.1,-4011.8961732413504,0
0.1,-4011.905834778764,0
0.1,-4011.8945605501876,0
0.1,-3906.100099489198,0
0.1,-4011.898390599719,0
0.1,-4011.90425206822,0
0.1,-4011.8979980790846,0
0.1,-4011.8982100302615,0
0.1,-4011.89798115904,0
0.1,-4011.9012553921684,0
0.1,-4011.9006830475696,0
0.1,-4011.8996186329323,0
0.1,-4011.9032880506097,0
0.1,-4011.8983116238073,0
0.1,-4011.89834776572,0
0.1,-4011.8985009006337,0
0.1,-4011.8996186329323,0
0.1,-4011.8947242611052,0
0.1,-4011.898226828603,0
0.1,-4011.9029484860002,0
0.1,-4011.8961732413504,0
0.1,-4011.899061568175,0
0.1,-4011.903800635861,0
0.1,-4011.902581580667,0
0.1,-4011.907853660813,0
0.1,-4011.8996186329323,0
0.1,-4011.898390599719,0
0.1,-4011.8961732413504,0
0.1,-4011.9011437607223,0
0.1,-4011.897072975989,0
0.1,-3904.251791898286,0
0.1,-4011.8991111466808,0
0.1,-4011.9033273841983,0
0.1,-4011.899249122745,0
0.1,-4011.9055015282856,0
0.1,-4011.8986386349866,0
0.1,-4011.9006806509396,0
0.1,-4011.903971874172,0
0.1,-4011.9043023696654,0
0.1,-4011.9033273841983,0
