quartile,mean_profit,lambda_may
0.1,-4013.7763366312597,0
0.1,-4013.743089798833,0
0.1,-4013.7678828061876,0
0.1,-4013.724970100623,0
0.1,-4013.790119487417,0
0.1,-4013.800962101591,0
0.1,-4013.7385741684734,0
0.1,-4013.7384554148457,0
0.1,-4013.7984394209384,0
0.1,-4013.8599689904777,0
0.1,-4013.7554194785084,0
0.1,-4013.7311711695575,0
0.1,-4013.773643352047,0
0.1,-4013.7764794856175,0
0.1,-4013.759452940171,0
0.1,-4013.744570504729,0
0.1,-4013.792503092753,0
0.1,-4013.800179853379,0
0.1,-4013.7708073699,0
0.1,-4013.7564106632153,0
0.1,-4013.772835376087,0
0.1,-4013.8059636891726,0
0.1,-4013.789813854753,0
0.1,-4013.7412584725685,0
0.1,-4013.825057819028,0
0.1,-4013.7372386546153,0
0.1,-4013.7392789642713,0
0.1,-4013.7339016493834,0
0.1,-4013.7617004235826,0
0.1,-4013.7262743744395,0
0.1,-4013.7791350030334,0
0.1,-4013.7429675802587,0
0.1,-4013.8189746298685,0
0.1,-4013.8019840394927,0
0.1,-4013.7771268255474,0
0.1,-4013.7729886542193,0
0.1,-4013.730463123032,0
0.1,-4013.7515162202103,0
0.1,-4013.7988113843853,0
0.1,-4013.7912125809466,0
0.1,-4013.721013377746,0
0.1,-4013.830339590164,0
0.1,-4013.7469056118925,0
0.1,-4013.7685211532216,0
0.1,-4013.839369405817,0
0.1,-4013.8002532368423,0
0.1,-4013.729658578936,0
0.1,-4013.7148854826655,0
0.1,-4013.750638886488,0
0.1,-4013.7466690413794,0
0.1,-4013.7632769958036,0
0.1,-4013.767513763705,0
0.1,-4013.776446479812,0
0.1,-4013.7717707538022,0
0.1,-4013.8021931110716,0
0.1,-4013.75942706272,0
0.1,-4013.794369604679,0
0.1,-4013.8131558055766,0
0.1,-4013.7537460113404,0
0.1,-4013.7429001764795,0
0.1,-4013.7895660806485,0
0.1,-4013.7956990346484,0
0.1,-4013.754655654237,0
0.1,-4013.7541865170137,0
0.1,-4013.7917859519243,0
0.1,-4013.8455105982357,0
0.1,-4013.7360616125684,0
0.1,-4013.7575436753527,0
0.1,-4013.725847287303,0
0.1,-4013.8039035923894,0
0.1,-4013.7719193934154,0
0.1,-4013.7275696674137,0
0.1,-4013.759584670892,0
0.1,-4013.7941603094832,0
0.1,-4013.7109447516314,0
0.1,-4013.7652293657716,0
0.1,-4013.7548661408864,0
0.1,-4013.829305389833,0
0.1,-4013.7790539342714,0
0.1,-4013.7624561328553,0
0.1,-4013.7725957278735,0
0.1,-4013.742975085263,0
0.1,-4013.7395532689134,0
0.1,-4013.754391052238,0
0.1,-4013.762651730924,0
0.1,-4013.7585399848253,0
0.1,-4013.7263187871617,0
0.1,-4013.7595043425913,0
0.1,-4013.764690855774,0
0.1,-4013.8532660858887,0
0.1,-4013.786389517781,0
0.1,-4013.770733474492,0
0.1,-4013.750187980206,0
0.1,-4013.786359551816,0
0.1,-4013.7264743048486,0
0.1,-4013.8237919230946,0
0.1,-4013.749762683004,0
0.1,-4013.7701222653463,0
0.1,-4013.7705438428666,0
0.1,-4013.7566413746813,0
0.2,-4014.06749530671,0
0.2,-4014.0010785171157,0
0.2,-4014.031357503679,0
0.2,-4013.852684683155,0
0.2,-4014.0154316633484,0
0.2,-4013.978903747666,0
0.2,-4013.864172559924,0
0.2,-4013.978354006481,0
0.2,-4014.056288445817,0
0.2,-4013.872083331729,0
0.2,-4013.9118522746003,0
0.2,-4013.923009092865,0
0.2,-4013.8869035621883,0
0.2,-4013.9529934247084,0
0.2,-4013.921856951872,0
0.2,-4013.9460235869255,0
0.2,-4013.890427284574,0
0.2,-4013.9002418578953,0
0.2,-4014.211810495856,0
0.2,-4014.0485226130268,0
0.2,-4014.1174061452375,0
0.2,-4014.0158161935524,0
0.2,-4013.857821143604,0
0.2,-4014.1109438950552,0
0.2,-4014.047516580931,0
0.2,-4014.075401569101,0
0.2,-4014.0193956830017,0
0.2,-4013.8585785155465,0
0.2,-4013.9595803482393,0
0.2,-4014.021536375857,0
0.2,-4014.186028772386,0
0.2,-4014.0313877092185,0
0.2,-4013.9226980536864,0
0.2,-4013.9056348011804,0
0.2,-4013.9362600043182,0
0.2,-4013.928632370403,0
0.2,-4013.8832573187956,0
0.2,-4013.9739915904397,0
0.2,-4013.9218808522573,0
0.2,-4013.82755208004,0
0.2,-4013.9809176743097,0
0.2,-4013.9426312283754,0
0.2,-4014.0062975330475,0
0.2,-4014.106211510639,0
0.2,-4013.8452988202785,0
0.2,-4014.0822202853724,0
0.2,-4013.8516591025173,0
0.2,-4013.9222345572653,0
0.2,-4013.8743985408005,0
0.2,-4014.084342594918,0
0.2,-4014.017975214861,0
0.2,-4013.920877746765,0
0.2,-4013.914325856445,0
0.2,-4013.8920596813655,0
0.2,-4013.9073769073643,0
0.2,-4013.992334253336,0
0.2,-4013.885850251339,0
0.2,-4013.874984321527,0
0.2,-4014.11727130673,0
0.2,-4013.877162682766,0
0.2,-4013.941463287466,0
0.2,-4013.813258893088,0
0.2,-4013.9806421883254,0
0.2,-4014.0647845527087,0
0.2,-4014.0742886049075,0
0.2,-4013.823331525135,0
0.2,-4014.073564116526,0
0.2,-4013.943257386701,0
0.2,-4013.8738606464904,0
0.2,-4014.111376126742,0
0.2,-4013.882997589419,0
0.2,-4013.971379668782,0
0.2,-4013.910271584713,0
0.2,-4014.022603622386,0
0.2,-4013.7904377284444,0
0.2,-4014.15715356752,0
0.2,-4013.9174372135,0
0.2,-4014.031141994046,0
0.2,-4013.833741404487,0
0.2,-4013.859686637223,0
0.2,-4013.962226234688,0
0.2,-4013.8397380895167,0
0.2,-4013.8826784073144,0
0.2,-4014.1679580528903,0
0.2,-4013.9019277773577,0
0.2,-4014.0723034233647,0
0.2,-4013.8458275414177,0
0.2,-4014.104996595572,0
0.2,-4013.9624027861355,0
0.2,-4014.0445857757886,0
0.2,-4013.86899806107,0
0.2,-4014.0778532189997,0
0.2,-4013.91415530413,0
0.2,-4013.8206137693205,0
0.2,-4013.9878339201096,0
0.2,-4013.905205617526,0
0.2,-4013.8590846373954,0
0.2,-4014.0933842464183,0
0.2,-4013.884816238232,0
0.2,-4013.848956372669,0
0.3,-4014.240104161738,0
0.3,-4014.330139129173,0
0.3,-4014.184588938261,0
0.3,-4014.3093301084664,0
0.3,-4014.198542890689,0
0.3,-4013.986854376351,0
0.3,-4014.1839051483166,0
0.3,-4014.2194157490458,0
0.3,-4014.27270620512,0
0.3,-4014.4039057464065,0
0.3,-4014.2091779720804,0
0.3,-4014.164063937208,0
0.3,-4014.310356533358,0
0.3,-4014.1102354463924,0
0.3,-4014.222578496854,0
0.3,-4014.567335544755,0
0.3,-4014.149398822086,0
0.3,-4014.435750830008,0
0.3,-4014.6128681701794,0
0.3,-4014.6878125257167,0
0.3,-4014.373238356879,0
0.3,-4014.1651470589236,0
0.3,-4014.143634020627,0
0.3,-4014.347277433784,0
0.3,-4014.31635470929,0
0.3,-4014.0619453115632,0
0.3,-4013.9606298699523,0
0.3,-4014.4859564583185,0
0.3,-4013.9308912390293,0
0.3,-4014.0988981989976,0
0.3,-4014.225563636478,0
0.3,-4014.1635320453615,0
0.3,-4014.1043561412157,0
0.3,-4014.3467091778775,0
0.3,-4014.281380249882,0
0.3,-4014.2496071648657,0
0.3,-4014.010403073843,0
0.3,-4014.0872449232684,0
0.3,-4014.2322120269,0
0.3,-4014.138754649809,0
0.3,-4014.1020518016326,0
0.3,-4014.179348180845,0
0.3,-4013.9078127806647,0
0.3,-4014.5709480640826,0
0.3,-4014.459455907967,0
0.3,-4014.5440317612674,0
0.3,-4014.1395906420435,0
0.3,-4014.4308132383658,0
0.3,-4014.197759556166,0
0.3,-4013.978611641436,0
0.3,-4014.033873090919,0
0.3,-4014.281463240645,0
0.3,-4014.227255943852,0
0.3,-4014.150679764204,0
0.3,-4014.302313068058,0
0.3,-4014.3342597512287,0
0.3,-4014.4802473312247,0
0.3,-4014.4202817782016,0
0.3,-4014.3415525257305,0
0.3,-4014.4721268786056,0
0.3,-4014.1372669045218,0
0.3,-4014.3294747464247,0
0.3,-4014.2916511669177,0
0.3,-4014.3902273873628,0
0.3,-4014.4205731734196,0
0.3,-4014.5452015582823,0
0.3,-4014.401829363184,0
0.3,-4014.311628980424,0
0.3,-4014.598233626467,0
0.3,-4014.272676715586,0
0.3,-4014.3728022102537,0
0.3,-4014.47135331503,0
0.3,-4014.270299570944,0
0.3,-4014.369597431111,0
0.3,-4014.277830928019,0
0.3,-4014.1472411322834,0
0.3,-4014.2700971691943,0
0.3,-4014.4047977389337,0
0.3,-4014.3015096528093,0
0.3,-4014.380496684543,0
0.3,-4014.4276115532853,0
0.3,-4014.1093383661682,0
0.3,-4014.221751667562,0
0.3,-4014.3511076335108,0
0.3,-4014.0995274280217,0
0.3,-4014.3068238809738,0
0.3,-4014.1606404825075,0
0.3,-4014.291493596979,0
0.3,-4014.1773565345898,0
0.3,-4014.3370712918054,0
0.3,-4013.9872693143384,0
0.3,-4014.0230386848048,0
0.3,-4014.2513995134996,0
0.3,-4014.528739892626,0
0.3,-4014.49237256019,0
0.3,-4014.044070642615,0
0.3,-4014.4470503556754,0
0.3,-4014.198361604769,0
0.3,-4014.7301261887933,0
0.3,-4014.546157161768,0
0.4,-4014.070219549775,0
0.4,-4014.061696922844,0
0.4,-4014.0626618276206,0
0.4,-4014.3388235357447,0
0.4,-4014.3333790565694,0
0.4,-4014.219684104516,0
0.4,-4014.7946899631293,0
0.4,-4014.4154417181817,0
0.4,-4014.092219244154,0
0.4,-4013.9844299648184,0
0.4,-4014.2161709004067,0
0.4,-4014.1554095013284,0
0.4,-4014.396640878648,0
0.4,-4014.11021918453,0
0.4,-4014.4112005348393,0
0.4,-4014.3144881255657,0
0.4,-4014.0639280186356,0
0.4,-4014.356486205208,0
0.4,-4014.3976390924167,0
0.4,-4014.2079854286185,0
0.4,-4014.1054344870827,0
0.4,-4014.210577364089,0
0.4,-4014.111362898667,0
0.4,-4014.340698443401,0
0.4,-4014.577887952923,0
0.4,-4014.310092508518,0
0.4,-4014.163577836738,0
0.4,-4014.449855019333,0
0.4,-4014.103576375053,0
0.4,-4014.0336094191657,0
0.4,-4013.8951322025655,0
0.4,-4014.473341843454,0
0.4,-4014.337013568601,0
0.4,-4014.0672680278426,0
0.4,-4014.2858095622596,0
0.4,-4013.992185456204,0
0.4,-4014.26301180401,0
0.4,-4014.4380003749066,0
0.4,-4014.3109343846786,0
0.4,-4014.504169167686,0
0.4,-4014.362503460628,0
0.4,-4014.568435620237,0
0.4,-4014.371291191739,0
0.4,-4014.078197708227,0
0.4,-4014.0822370404917,0
0.4,-4014.1963107594934,0
0.4,-4014.4319368625893,0
0.4,-4014.392489135917,0
0.4,-4014.3514784470162,0
0.4,-4014.1050990510807,0
0.4,-4014.282656444717,0
0.4,-4014.585213714874,0
0.4,-4014.461059913964,0
0.4,-4014.3814457121402,0
0.4,-4014.502771646489,0
0.4,-4014.5213522903227,0
0.4,-4014.1150400924957,0
0.4,-4013.9873608154144,0
0.4,-4014.0611033858286,0
0.4,-4013.917453711015,0
0.4,-4013.919988336946,0
0.4,-4014.1775913160677,0
0.4,-4013.95035533901,0
0.4,-4014.155790828781,0
0.4,-4014.012471880525,0
0.4,-4014.1217125914595,0
0.4,-4014.3335072734394,0
0.4,-4014.27952299004,0
0.4,-4014.387317390769,0
0.4,-4014.143915871513,0
0.4,-4014.1976093104963,0
0.4,-4014.2596378415824,0
0.4,-4014.468829153067,0
0.4,-4014.1412743268347,0
0.4,-4014.298548897253,0
0.4,-4014.3043238501914,0
0.4,-4014.222616979678,0
0.4,-4013.9000707205505,0
0.4,-4014.3782854886426,0
0.4,-4014.1489489330716,0
0.4,-4014.149764158639,0
0.4,-4014.2996598229383,0
0.4,-4014.35281871935,0
0.4,-4014.287972823046,0
0.4,-4014.0315420736383,0
0.4,-4014.082960250002,0
0.4,-4014.104807756106,0
0.4,-4014.048171325722,0
0.4,-4013.973512286651,0
0.4,-4014.4924246890073,0
0.4,-4014.2824860854125,0
0.4,-4014.3203744085267,0
0.4,-4013.933259909088,0
0.4,-4014.048409004392,0
0.4,-4014.3762179939927,0
0.4,-4014.364371077104,0
0.4,-4014.3317779788204,0
0.4,-4014.3937928844925,0
0.4,-4014.570280408091,0
0.4,-4014.299284806027,0
0.5,-4014.760869371066,0
0.5,-4015.263633287723,0
0.5,-4014.805840500492,0
0.5,-4015.6404087648098,0
0.5,-4014.628579879833,0
0.5,-4015.0786694486283,0
0.5,-4014.702958371083,0
0.5,-4014.8996569386377,0
0.5,-4014.6857361131997,0
0.5,-4015.036219792552,0
0.5,-4014.3145641312144,0
0.5,-4015.510194937005,0
0.5,-4014.9963582019304,0
0.5,-4015.022458037559,0
0.5,-4015.0265569689905,0
0.5,-4015.567002002523,0
0.5,-4015.076715827565,0
0.5,-4014.318420063343,0
0.5,-4015.3316068424915,0
0.5,-4014.3606642540894,0
0.5,-4014.9672633193454,0
0.5,-4015.0034873315935,0
0.5,-4015.109602712051,0
0.5,-4015.469795651562,0
0.5,-4014.934491251534,0
0.5,-4015.2437999512267,0
0.5,-4014.3693826233466,0
0.5,-4015.5370673317766,0
0.5,-4015.6345034925894,0
0.5,-4015.020571630156,0
0.5,-4014.858143137347,0
0.5,-4014.237175766021,0
0.5,-4014.9224223112806,0
0.5,-4015.2554704800273,0
0.5,-4015.033765437335,0
0.5,-4015.287247660336,0
0.5,-4015.3572891251492,0
0.5,-4014.619214341554,0
0.5,-4014.773700999996,0
0.5,-4014.429265202735,0
0.5,-4015.083618488553,0
0.5,-4015.367332285605,0
0.5,-4015.01891134196,0
0.5,-4014.5222517663424,0
0.5,-4014.537049623218,0
0.5,-4015.7400602078624,0
0.5,-4015.4199667311323,0
0.5,-4014.9586235110414,0
0.5,-4015.571776036504,0
0.5,-4014.82252916519,0
0.5,-4015.2038296851388,0
0.5,-4014.513018041781,0
0.5,-4015.7113019982826,0
0.5,-4014.30194783309,0
0.5,-4015.091599397172,0
0.5,-4014.8842588262846,0
0.5,-4014.9349153156,0
0.5,-4015.2339419239443,0
0.5,-4014.5322741448863,0
0.5,-4015.423290894802,0
0.5,-4014.3872497574603,0
0.5,-4015.453040545376,0
0.5,-4015.034094981523,0
0.5,-4014.921124357186,0
0.5,-4014.9854818743324,0
0.5,-4014.768311904017,0
0.5,-4014.774346322673,0
0.5,-4015.0031291598466,0
0.5,-4015.404174509584,0
0.5,-4014.9291563484667,0
0.5,-4015.485988947891,0
0.5,-4014.840259242158,0
0.5,-4014.7330069620875,0
0.5,-4015.3209947334717,0
0.5,-4015.3925134083056,0
0.5,-4015.386377160509,0
0.5,-4015.3250041856727,0
0.5,-4015.0204876642038,0
0.5,-4015.5202381712465,0
0.5,-4014.9639139719907,0
0.5,-4015.0137312198913,0
0.5,-4015.2216265030006,0
0.5,-4015.098077748227,0
0.5,-4015.1769948527285,0
