quartile,mean_profit,lambda_may
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9943462752376,0
0.1,-4010.9939508723965,0
0.1,-4010.9938366246874,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9941172466447,0
0.1,-4010.9939508723965,0
0.1,-4010.9934900350254,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9941172466447,0
0.1,-4010.9943462752376,0
0.1,-4010.9939508723965,0
0.1,-4010.9934900350254,0
0.1,-4010.9941172466447,0
0.1,-4010.9934900350254,0
0.1,-4010.9941172466447,0
0.1,-4010.9938366246874,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9938366246874,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9941172466447,0
0.1,-4010.9941172466447,0
0.1,-4010.9939508723965,0
0.1,-4010.9941172466447,0
0.1,-4010.9941172466447,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9941172466447,0
0.1,-4010.9943462752376,0
0.1,-4010.9939508723965,0
0.1,-4010.9934900350254,0
0.1,-4010.9939508723965,0
0.1,-4010.9938366246874,0
0.1,-4010.9941172466447,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9939508723965,0
0.1,-4010.9941172466447,0
0.1,-4010.9939508723965,0
0.1,-4010.9941172466447,0
0.1,-4010.9931797572963,0
0.1,-4010.9939508723965,0
0.1,-4010.9934900350254,0
0.2,-4011.2032685065046,0
0.2,-4011.178313592408,0
0.2,-4011.3707923121137,0
0.2,-4011.140822322704,0
0.2,-4011.154214851599,0
0.2,-4011.2770181339465,0
0.2,-4011.308733371328,0
0.2,-4011.3476367768094,0
0.2,-4011.165339070262,0
0.2,-4011.380156557533,0
0.2,-4011.1605237294216,0
0.2,-4011.1781751868234,0
0.2,-4011.109785664359,0
0.2,-4011.3126629344024,0
0.2,-4011.168850367691,0
0.2,-4011.260096084944,0
0.2,-4011.2340534302666,0
0.2,-4011.2700140229344,0
0.2,-4011.0713034198234,0
0.2,-4011.156279511781,0
0.2,-4011.4057079133077,0
0.2,-4011.1704859229226,0
0.2,-4011.1699556531707,0
0.2,-4011.337720649331,0
0.2,-4011.2909771563063,0
0.2,-4011.0781585348223,0
0.2,-4011.3767825606387,0
0.2,-4011.1980946387166,0
0.2,-4011.289279264064,0
0.2,-4011.253285374915,0
0.2,-4011.18122292822,0
0.2,-4011.1504393828786,0
0.2,-4011.1730669874405,0
0.2,-4011.375130426378,0
0.2,-4011.3149255070684,0
0.2,-4011.3102498674652,0
0.2,-4011.1367386843804,0
0.2,-4011.4116134395695,0
0.2,-4011.21553545549,0
0.2,-4011.1016675770934,0
0.2,-4011.226279179505,0
0.2,-4011.1415539482036,0
0.2,-4011.1650408226906,0
0.2,-4011.311052060484,0
0.2,-4011.1397695402256,0
0.2,-4011.493692621628,0
0.2,-4011.25818550146,0
0.2,-4011.2755260877943,0
0.2,-4011.242052112575,0
0.2,-4011.1618127975844,0
0.3,-4011.2771499214737,0
0.3,-4011.3963450058372,0
0.3,-4011.422799897829,0
0.3,-4011.391033128747,0
0.3,-4011.4587293512245,0
0.3,-4011.359407518006,0
0.3,-4011.411129174818,0
0.3,-4011.2913802970425,0
0.3,-4011.3812954855075,0
0.3,-4011.3993178246806,0
0.3,-4011.4051688288746,0
0.3,-4011.2903045517814,0
0.3,-4011.3615647257634,0
0.3,-4011.4183042904015,0
0.3,-4011.310580752488,0
0.3,-4011.4833046742797,0
0.3,-4011.3398029395994,0
0.3,-4011.413161149384,0
0.3,-4011.4095308554784,0
0.3,-4011.3652453621876,0
0.3,-4011.480320361841,0
0.3,-4011.3525063332454,0
0.3,-4011.4207301415036,0
0.3,-4011.3641253474275,0
0.3,-4011.540494947001,0
0.3,-4011.4503084176313,0
0.3,-4011.389264821044,0
0.3,-4011.551391336738,0
0.3,-4011.387745997701,0
0.3,-4011.351963253871,0
0.3,-4011.344519173078,0
0.3,-4011.3757663563447,0
0.3,-4011.3285307524384,0
0.3,-4011.334883780286,0
0.3,-4011.461669414469,0
0.3,-4011.3773637951817,0
0.3,-4011.385084664775,0
0.3,-4011.4467011327292,0
0.3,-4011.337049856374,0
0.3,-4011.4332358437723,0
0.3,-4011.315466408761,0
0.3,-4011.3171693479203,0
0.3,-4011.514913545032,0
0.3,-4011.3443545071073,0
0.3,-4011.375987704287,0
0.3,-4011.386477962074,0
0.3,-4011.34841288808,0
0.3,-4011.2875963402353,0
0.3,-4011.264549009202,0
0.3,-4011.473599328269,0
0.4,-4011.646253890955,0
0.4,-4011.534805242625,0
0.4,-4011.772861892696,0
0.4,-4011.463005509364,0
0.4,-4011.6910036115687,0
0.4,-4011.683930885427,0
0.4,-4011.5646245953353,0
0.4,-4011.6881999854218,0
0.4,-4011.554351653794,0
0.4,-4011.675802905687,0
0.4,-4011.7501664200827,0
0.4,-4011.64103507709,0
0.4,-4011.672804990548,0
0.4,-4011.8084975170536,0
0.4,-4011.58619504381,0
0.4,-4011.679741411301,0
0.4,-4011.580979923937,0
0.4,-4011.711802115587,0
0.4,-4011.6129984970958,0
0.4,-4011.8075607426044,0
0.4,-4011.6558262672306,0
0.4,-4011.7275326209924,0
0.4,-4011.542725871105,0
0.4,-4011.7347468011135,0
0.4,-4011.6996251603,0
0.4,-4011.8731204819155,0
0.4,-4011.7439962576236,0
0.4,-4011.66791843392,0
0.4,-4011.5888951671095,0
0.4,-4011.756050477455,0
0.4,-4011.690225881455,0
0.4,-4011.773847218412,0
0.4,-4011.6430575877816,0
0.4,-4011.636582424996,0
0.4,-4011.768831913988,0
0.4,-4011.7272155924225,0
0.4,-4011.7659201015304,0
0.4,-4011.5253877366654,0
0.4,-4011.6401439639358,0
0.4,-4011.7057381875234,0
0.4,-4011.70429236694,0
0.4,-4011.7597337679495,0
0.4,-4011.6128555877713,0
0.4,-4011.4472541628015,0
0.4,-4011.6503845540706,0
0.4,-4011.6544387095114,0
0.4,-4011.802339642216,0
0.4,-4011.6965302870026,0
0.4,-4011.503371342044,0
0.4,-4011.5849979252457,0
0.5,-4011.98106762281,0
0.5,-4011.8675242206004,0
0.5,-4012.0180796425752,0
0.5,-4011.633397181173,0
0.5,-4011.651335935487,0
0.5,-4011.748315146071,0
0.5,-4011.868658998089,0
0.5,-4011.9537982307174,0
0.5,-4011.9549993211076,0
0.5,-4011.8100131782835,0
0.5,-4011.6657981752755,0
0.5,-4011.5488120769182,0
0.5,-4011.724484009625,0
0.5,-4011.823660371475,0
0.5,-4011.8700728659023,0
0.5,-4011.504352364437,0
0.5,-4012.046635301452,0
0.5,-4011.709003130055,0
0.5,-4011.7253346771486,0
0.5,-4011.6821771255263,0
0.5,-4011.710431106042,0
0.5,-4011.876157659214,0
0.5,-4011.7130099439737,0
0.5,-4011.812405792383,0
0.5,-4012.051349594035,0
0.5,-4011.939831345321,0
0.5,-4011.8011868236936,0
0.5,-4011.7976213506213,0
0.5,-4011.985379958373,0
0.5,-4011.827205273136,0
0.5,-4011.6773189423297,0
0.5,-4012.053188046851,0
0.5,-4011.8938125026516,0
0.5,-4011.9076100898988,0
0.5,-4011.8914011321676,0
0.5,-4011.8423500226963,0
0.5,-4011.876384684858,0
0.5,-4011.739643335476,0
0.5,-4011.7737752980747,0
0.5,-4011.8266385307234,0
0.5,-4011.8683699216967,0
0.5,-4011.686834006231,0
0.5,-4011.9663088946672,0
0.5,-4011.91933320939,0
0.5,-4011.764674106298,0
0.5,-4011.525343963407,0
0.5,-4011.8917314784276,0
0.5,-4011.9025723590635,0
0.5,-4011.879758415203,0
0.5,-4011.9236606433337,0
0.6,-4011.797045169337,0
0.6,-4011.678633261275,0
0.6,-4011.8924090340506,0
0.6,-4011.97572188974,0
0.6,-4011.500881701899,0
0.6,-4011.63023208063,0
0.6,-4011.829680946256,0
0.6,-4011.5801637599234,0
0.6,-4011.8310853474213,0
0.6,-4011.6977095925818,0
0.6,-4011.9610558555396,0
0.6,-4011.7554550732384,0
0.6,-4011.770074232769,0
0.6,-4012.258260246426,0
0.6,-4012.038330091353,0
0.6,-4011.7335431697115,0
0.6,-4011.562814249876,0
0.6,-4012.1986689932573,0
0.6,-4011.5602926869196,0
0.6,-4011.755355415401,0
0.6,-4011.8773672808165,0
0.6,-4011.755081179259,0
0.6,-4011.8002196068524,0
0.6,-4012.121028179624,0
0.6,-4012.126474948261,0
0.6,-4011.712474562126,0
0.6,-4011.88020295459,0
0.6,-4011.784775800791,0
0.6,-4011.9504761339535,0
0.6,-4011.8114795441575,0
0.6,-4011.930499225925,0
0.6,-4011.7452218539033,0
0.6,-4011.930451460222,0
0.6,-4011.5481121590137,0
0.6,-4012.215890893568,0
0.6,-4011.7138021808782,0
0.6,-4011.7023347716986,0
0.6,-4011.7448837056545,0
0.6,-4011.7107667486152,0
0.6,-4011.61296696845,0
0.6,-4011.9739184320715,0
0.6,-4012.181736287436,0
0.6,-4011.7129828772127,0
0.6,-4011.6931887111186,0
0.6,-4011.782303131888,0
0.6,-4011.8888339896216,0
0.6,-4012.078909920475,0
0.6,-4011.705679783757,0
0.6,-4012.185307672713,0
0.6,-4012.1764494824206,0
0.7,-4012.4727033857152,0
0.7,-4012.712363303216,0
0.7,-4012.4216115471067,0
0.7,-4012.2431343984895,0
0.7,-4012.592044059279,0
0.7,-4012.6550030255703,0
0.7,-4012.420386102752,0
0.7,-4012.4384085436322,0
0.7,-4012.7262145193044,0
0.7,-4012.6051239407334,0
0.7,-4012.6347071597647,0
0.7,-4012.6188542089903,0
0.7,-4012.9385911071386,0
0.7,-4012.6400979516175,0
0.7,-4012.2760051937144,0
0.7,-4012.289856292325,0
0.7,-4012.431352005567,0
0.7,-4012.631261492719,0
0.7,-4012.4786088398023,0
0.7,-4012.6887556890974,0
0.7,-4012.4538305544947,0
0.7,-4012.6845897658523,0
0.7,-4012.54397966815,0
0.7,-4012.7199548704875,0
0.7,-4012.7612367699353,0
0.7,-4012.70108287308,0
0.7,-4012.3984996467548,0
0.7,-4012.432722967023,0
0.7,-4012.3928697398273,0
0.7,-4012.688187290593,0
0.7,-4012.639054781462,0
0.7,-4012.465334045488,0
0.7,-4012.5391923979223,0
0.7,-4012.667984995227,0
0.7,-4012.5919328954774,0
0.7,-4012.597222231612,0
0.7,-4012.6220785595483,0
0.7,-4012.3949230381304,0
0.7,-4012.7106705595106,0
0.7,-4012.693852146633,0
0.7,-4012.6840155100326,0
0.7,-4012.792266595072,0
0.7,-4012.6430456542193,0
0.7,-4012.6797449608366,0
0.7,-4012.7079156048767,0
0.7,-4012.4949417099483,0
0.7,-4012.348251284973,0
0.7,-4012.345176790401,0
0.7,-4012.691349269652,0
0.7,-4012.656064692449,0
0.8,-4011.981789310795,0
0.8,-4011.8082597396483,0
0.8,-4012.1361526411424,0
0.8,-4012.5185375066517,0
0.8,-4011.9070210382165,0
0.8,-4012.165177533574,0
0.8,-4012.500724007155,0
0.8,-4012.0438484580304,0
0.8,-4012.4791546333454,0
0.8,-4012.1147749467273,0
0.8,-4012.013752644979,0
0.8,-4012.0604999076018,0
0.8,-4012.0025003502824,0
0.8,-4011.981665591695,0
0.8,-4012.6196059478916,0
0.8,-4012.4742128017792,0
0.8,-4012.4987321354283,0
0.8,-4012.405597444972,0
0.8,-4012.1140205121537,0
0.8,-4012.3334875914866,0
0.8,-4012.008716112248,0
0.8,-4012.0873998440575,0
0.8,-4012.0998055802465,0
0.8,-4012.1823566365642,0
0.8,-4012.085204925515,0
0.8,-4012.102161501143,0
0.8,-4012.3213993848804,0
0.8,-4011.9283372171217,0
0.8,-4011.904875319263,0
0.8,-4012.2926426409203,0
0.8,-4012.0285077462636,0
0.8,-4011.9436293087506,0
0.8,-4012.094778111207,0
0.8,-4012.2153077641397,0
0.8,-4012.4143279341024,0
0.8,-4012.2256168731287,0
0.8,-4012.18047979433,0
0.8,-4012.3116115559355,0
0.8,-4012.21694311207,0
0.8,-4012.22620475183,0
0.8,-4012.034987739551,0
0.8,-4012.167449981192,0
0.8,-4012.0276313088166,0
0.8,-4012.18703448214,0
0.8,-4011.9342266741696,0
0.8,-4012.1466311618656,0
0.8,-4012.076650437307,0
0.8,-4012.1603468426256,0
0.8,-4011.9450621915103,0
0.8,-4012.5907996804813,0
0.9,-4011.982967604441,0
0.9,-4012.036395553839,0
0.9,-4012.0118148479164,0
0.9,-4012.0140580861894,0
0.9,-4012.000538345794,0
0.9,-4011.926413569403,0
0.9,-4012.052506234902,0
0.9,-4011.928907532304,0
0.9,-4011.961402739439,0
0.9,-4012.019107101105,0
0.9,-4012.059599250166,0
0.9,-4012.0122232025938,0
0.9,-4011.886572348098,0
0.9,-4012.0441516493784,0
0.9,-4012.0646211195944,0
0.9,-4011.62803407289,0
0.9,-4011.905167760096,0
0.9,-4011.9317523416735,0
0.9,-4012.055535472728,0
0.9,-4011.899824610277,0
0.9,-4011.9834612865707,0
0.9,-4011.929795827127,0
0.9,-4011.9494702207426,0
0.9,-4012.051013386823,0
0.9,-4012.0618415206054,0
0.9,-4012.013021255466,0
0.9,-4012.0570197331576,0
0.9,-4011.9434103920835,0
0.9,-4011.8086889306464,0
0.9,-4011.8811857056644,0
0.9,-4011.817046097612,0
0.9,-4012.050734434049,0
0.9,-4012.0076772710067,0
0.9,-4012.017439251315,0
0.9,-4012.0631274500724,0
0.9,-4012.0318982348813,0
0.9,-4012.0078857820677,0
0.9,-4011.868632356151,0
0.9,-4011.941492400532,0
0.9,-4012.0106237902046,0
0.9,-4012.069935326146,0
0.9,-4011.859928859623,0
0.9,-4011.9599988189516,0
0.9,-4012.031615465578,0
0.9,-4012.020865858827,0
0.9,-4012.023967691703,0
0.9,-4012.0322842378405,0
0.9,-4011.963091303504,0
0.9,-4011.9826300019977,0
0.9,-4012.0477882812866,0
1.0,-4011.683019301077,0
1.0,-4011.5483663096966,0
1.0,-4011.578670840939,0
1.0,-4011.6236147635027,0
1.0,-4011.628382161901,0
1.0,-4011.6304114317154,0
1.0,-4011.6210974470996,0
1.0,-4011.6743835047714,0
1.0,-4011.6022595248705,0
1.0,-4011.6537791772557,0
1.0,-4011.580066721842,0
1.0,-4011.6504376495227,0
1.0,-4011.5286713801165,0
1.0,-4011.5993187126346,0
1.0,-4011.6582429933947,0
1.0,-4011.6385253451276,0
1.0,-4011.462312799962,0
1.0,-4011.603346166641,0
1.0,-4011.6192307861493,0
1.0,-4011.6124240107206,0
1.0,-4011.696080280894,0
1.0,-4011.5244218098246,0
1.0,-4011.5775537695436,0
1.0,-4011.568998901466,0
1.0,-4011.605774777992,0
1.0,-4011.614393972214,0
1.0,-4011.4975097092215,0
1.0,-4011.5888296553026,0
1.0,-4011.7209558316663,0
1.0,-4011.55212463148,0
1.0,-4011.597657469796,0
1.0,-4011.606842058213,0
1.0,-4011.597612456375,0
1.0,-4011.516578603115,0
1.0,-4011.6402190190624,0
1.0,-4011.5160260732464,0
1.0,-4011.5744808344084,0
1.0,-4011.5731419469375,0
1.0,-4011.642238274918,0
1.0,-4011.6224833348188,0
1.0,-4011.6265509213204,0
1.0,-4011.6289247597465,0
1.0,-4011.626295909509,0
1.0,-4011.462312799962,0
1.0,-4011.6647900015128,0
1.0,-4011.609978027673,0
1.0,-4011.5646011123777,0
