quartile,mean_profit,lambda_may
0.1,-4016.197653980956,0
0.1,-4016.3844327267047,0
0.1,-4016.407459226338,0
0.1,-4016.4373438444545,0
0.1,-4016.4453282518,0
0.1,-4015.9619584374805,0
0.1,-4016.2546740809516,0
0.1,-4016.4373733525767,0
0.1,-4016.3897496938516,0
0.1,-4016.387587260542,0
0.1,-4016.1784218036496,0
0.1,-4016.2052379846805,0
0.1,-4016.4143512519568,0
0.1,-4016.4074454053143,0
0.1,-4016.3689042354836,0
0.1,-4016.3647573638627,0
0.1,-4016.3431649668983,0
0.1,-4016.2420258750776,0
0.1,-4016.2633542836725,0
0.1,-4016.39122132827,0
0.1,-4016.3784971210707,0
0.1,-4016.266229010012,0
0.1,-4016.345216834035,0
0.1,-4016.39774241948,0
0.1,-4016.115369555198,0
0.1,-4016.3965524926493,0
0.1,-4016.3931859592462,0
0.1,-4016.4419240324137,0
0.1,-4016.3645014355716,0
0.1,-4016.0337420466058,0
0.1,-4016.4098335809617,0
0.1,-4016.344674808312,0
0.1,-4016.406845621023,0
0.1,-4016.2678804892575,0
0.1,-4016.434412706049,0
0.1,-4016.279202316109,0
0.1,-4016.3702556769445,0
0.1,-4016.437706414327,0
0.1,-4016.311719301931,0
0.1,-4016.365155271991,0
0.1,-4016.2626640961325,0
0.1,-4016.330678244641,0
0.1,-4016.2625592314503,0
0.1,-4016.410971226935,0
0.1,-4016.392643559705,0
0.1,-4016.4214378520783,0
0.1,-4016.025326374304,0
0.1,-4016.421356913444,0
0.1,-4016.390574182223,0
0.1,-4016.3589122933813,0
0.1,-4016.3461833417005,0
0.1,-4016.4389925858422,0
0.1,-4016.3422468551125,0
0.1,-4016.4336795430304,0
0.1,-4016.361681854589,0
0.1,-4016.4011611673996,0
0.1,-4016.256719978446,0
0.1,-4016.3215645053083,0
0.1,-4016.43334747597,0
0.1,-4016.3647397482446,0
0.1,-4016.271380782311,0
0.1,-4016.3802575723917,0
0.1,-4016.2083829382823,0
0.1,-4016.3605730070162,0
0.1,-4016.3872657358725,0
0.1,-4016.3067977465357,0
0.1,-4016.2992339741386,0
0.1,-4016.1850433980494,0
0.1,-4016.3659528865956,0
0.1,-4016.440190460016,0
0.1,-4016.241089065265,0
0.1,-4016.394428782833,0
0.1,-4016.3395222827457,0
0.1,-4016.371002972433,0
0.1,-4016.0803539203507,0
0.1,-4016.4505662834827,0
0.1,-4016.4553438562693,0
0.1,-4016.4123371741052,0
0.1,-4016.4851663936383,0
0.1,-4016.361818587065,0
0.1,-4016.4445744655604,0
0.1,-4016.445869858431,0
0.1,-4016.3262316783653,0
0.1,-4016.3220065054957,0
0.1,-4016.441989347611,0
0.1,-4016.409885008101,0
0.1,-4016.3734016402586,0
0.1,-4016.399854340254,0
0.1,-4016.3269206563746,0
0.1,-4015.9767134002154,0
0.1,-4016.4732328786968,0
0.1,-4016.3691552439527,0
0.1,-4016.455252708481,0
0.1,-4016.1966941299456,0
0.1,-4016.390754561639,0
0.1,-4016.3549281828246,0
0.1,-4016.301082478095,0
0.1,-4016.4436943246033,0
0.1,-4016.3555098138836,0
0.1,-4016.44772680009,0
0.2,-4016.3492131628445,0
0.2,-4016.3296515869592,0
0.2,-4016.3914256961502,0
0.2,-4016.366297147081,0
0.2,-4016.3767719422426,0
0.2,-4016.4698438771698,0
0.2,-4016.3599075165016,0
0.2,-4016.4336417516115,0
0.2,-4016.4726766003814,0
0.2,-4016.0702907926907,0
0.2,-4016.5233581555317,0
0.2,-4016.3824676969616,0
0.2,-4016.3494482012547,0
0.2,-4016.3541425326666,0
0.2,-4016.4959611665395,0
0.2,-4016.4147775530255,0
0.2,-4016.376897095183,0
0.2,-4016.4243429780945,0
0.2,-4016.4769351363702,0
0.2,-4016.079202970673,0
0.2,-4016.2943681150105,0
0.2,-4016.330154294431,0
0.2,-4016.3731004177566,0
0.2,-4016.3112296407535,0
0.2,-4016.370536931294,0
0.2,-4016.403835481826,0
0.2,-4016.28185075491,0
0.2,-4016.4604016880035,0
0.2,-4016.3901729068066,0
0.2,-4016.3885303788547,0
0.2,-4016.537386507544,0
0.2,-4016.468581640145,0
0.2,-4015.975856624851,0
0.2,-4016.5044617804692,0
0.2,-4016.3946330861118,0
0.2,-4016.3368532596955,0
0.2,-4016.4665948049324,0
0.2,-4016.1848292675677,0
0.2,-4016.364512917451,0
0.2,-4016.341125279338,0
0.2,-4016.5165976068847,0
0.2,-4016.371548920238,0
0.2,-4016.329965517236,0
0.2,-4016.332501712965,0
0.2,-4016.470659657641,0
0.2,-4016.416198446275,0
0.2,-4016.393893117128,0
0.2,-4016.3679535476626,0
0.2,-4016.598587046943,0
0.2,-4016.3710059530154,0
0.2,-4016.344590629358,0
0.2,-4016.3083590660663,0
0.2,-4016.4048642325542,0
0.2,-4016.460597823531,0
0.2,-4016.362484629136,0
0.2,-4016.3434090091655,0
0.2,-4016.5852742649713,0
0.2,-4016.4479094304356,0
0.2,-4016.3049494875136,0
0.2,-4016.5128128669035,0
0.2,-4016.381764501945,0
0.2,-4016.1760784755998,0
0.2,-4016.235999091326,0
0.2,-4016.4120754909495,0
0.2,-4015.99219526918,0
0.2,-4016.4404733827996,0
0.2,-4016.464105051391,0
0.2,-4016.443495673449,0
0.2,-4016.385500792577,0
0.2,-4016.294960696448,0
0.2,-4016.3732862534516,0
0.2,-4016.339801834602,0
0.2,-4016.478335220635,0
0.2,-4016.387966336796,0
0.2,-4016.515339558071,0
0.2,-4016.325277622402,0
0.2,-4016.320313759732,0
0.2,-4016.329149623206,0
0.2,-4016.277880618429,0
0.2,-4016.2931503820228,0
0.2,-4016.3046744607295,0
0.2,-4016.315422471801,0
0.2,-4016.29981626878,0
0.2,-4016.213591246015,0
0.2,-4016.560977054554,0
0.2,-4016.2775662480353,0
0.2,-4016.558270557087,0
0.2,-4016.448006458749,0
0.2,-4016.4377890483233,0
0.2,-4016.5725753906786,0
0.2,-4016.227554800556,0
0.2,-4016.3051997566863,0
0.2,-4016.572636498516,0
0.2,-4016.418080637745,0
0.2,-4016.1559625325604,0
0.2,-4016.3651355638262,0
0.2,-4016.255031565668,0
0.2,-4016.306894609609,0
0.2,-4016.2956574986647,0
0.2,-4016.387560914239,0
0.3,-4019.845154127344,0
0.3,-4019.7184034316397,0
0.3,-4020.010412526834,0
0.3,-4019.8424771647583,0
0.3,-4019.608057275666,0
0.3,-4019.6613439129032,0
0.3,-4019.760849452526,0
0.3,-4019.9612775375817,0
0.3,-4019.8119317516685,0
0.3,-4019.6860228702585,0
0.3,-4020.4320123065836,0
0.3,-4019.627207511614,0
0.3,-4019.8047389844573,0
0.3,-4019.70046277399,0
