quartile,mean_profit,lambda_may
0.1,-4014.9912431361686,0
0.1,-4014.994914744209,0
0.1,-4014.9960938217614,0
0.1,-3905.63802259147,0
0.1,-4014.9633140609853,0
0.1,-4014.9682012191074,0
0.1,-4014.9619668155196,0
0.1,-4014.9958489956803,0
0.1,-4014.98986196787,0
0.1,-4014.993076666348,0
0.1,-4014.9625011212256,0
0.1,-4014.9694997401803,0
0.1,-4014.9981504841685,0
0.1,-4014.996182748429,0
0.1,-4014.9832252687365,0
0.1,-4014.9542059437504,0
0.1,-3904.1747790819977,0
0.1,-4014.964883727831,0
0.1,-4014.9846087915366,0
0.1,-4014.9549988700896,0
0.1,-4014.996441626357,0
0.1,-4014.983664848351,0
0.1,-4014.964311954265,0
0.1,-4014.963551184051,0
0.1,-4014.987707988343,0
0.1,-4014.997104633186,0
0.1,-4014.9912431361686,0
0.1,-4014.988040828913,0
0.1,-4014.9925344940307,0
0.1,-4014.953295868111,0
0.1,-4014.9960938217614,0
0.1,-4014.994699796638,0
0.1,-4014.9925344940307,0
0.1,-4014.9581806656633,0
0.1,-4014.994699796638,0
0.1,-4014.995610827759,0
0.1,-4014.953295868111,0
0.1,-4014.9864355822965,0
0.1,-4014.9942184162423,0
0.1,-4014.999709520638,0
0.1,-4014.956400550058,0
0.1,-4014.9953608080887,0
0.1,-4014.9933009603615,0
0.1,-4014.9966740794675,0
0.1,-4014.9621173868795,0
0.1,-4014.9561473500603,0
0.1,-4014.9903371738806,0
0.1,-4014.9838400437225,0
0.1,-4014.9889247715655,0
0.1,-4014.9619668155196,0
0.1,-4014.999964273526,0
0.1,-4014.9991555191527,0
0.1,-4014.994699796638,0
0.1,-4014.991385339707,0
0.1,-4014.996182748429,0
0.1,-4014.985387905983,0
0.1,-4014.9545054462637,0
0.1,-4014.9622239206856,0
0.1,-4014.982771415844,0
0.1,-4014.9864044948104,0
0.1,-4014.9632859356966,0
0.1,-4014.9912431361686,0
0.1,-4014.9619668155196,0
0.1,-4014.9960938217614,0
0.1,-4014.9851823128038,0
0.1,-4014.964311954265,0
0.1,-4014.9999181754206,0
0.1,-4014.953859537998,0
0.1,-4014.989562642311,0
0.1,-4014.9967460291655,0
0.1,-4014.991385339707,0
0.1,-4014.9889247715655,0
0.1,-4014.986182768972,0
0.1,-4014.9871346895284,0
0.1,-4014.9851842701155,0
0.1,-4014.990106483579,0
0.1,-4014.9878286370645,0
0.1,-4014.9958489956803,0
0.1,-4014.981303668387,0
0.1,-4014.982771415844,0
0.1,-4014.96104461087,0
0.1,-4015.004137668424,0
0.1,-4014.995052325792,0
0.1,-3904.328804714575,0
0.1,-4014.995052325792,0
0.1,-4014.963551184051,0
0.1,-4014.996588296683,0
0.1,-4014.9984289674635,0
0.1,-4014.9559337371347,0
0.1,-4014.962768285682,0
0.1,-4014.9979125184327,0
0.1,-4014.994914744209,0
0.1,-4014.964457715931,0
0.1,-4014.9908905849234,0
0.1,-4014.9835965988013,0
0.1,-4014.9548579005873,0
0.1,-4014.9942184162423,0
0.1,-4014.996841187323,0
0.1,-4014.9623239828047,0
0.1,-4014.985717805196,0
0.2,-4014.9737547907534,0
0.2,-4014.9901440416897,0
0.2,-4014.921615103202,0
0.2,-4014.958519634738,0
0.2,-4014.969598060454,0
0.2,-4014.974663719226,0
0.2,-4014.966512661047,0
0.2,-4014.9976090182963,0
0.2,-4014.9788187750632,0
0.2,-4014.9842326522585,0
0.2,-4014.9880630630805,0
0.2,-4014.996588296683,0
0.2,-4015.0206534697354,0
0.2,-4014.9810386466484,0
0.2,-4014.9764325063416,0
0.2,-4014.9593189308102,0
0.2,-4014.9663000061278,0
0.2,-4015.004368007202,0
0.2,-4014.979925861632,0
0.2,-4014.9542857723136,0
0.2,-4014.982627531826,0
0.2,-4015.0023734483684,0
0.2,-4014.9870010669133,0
0.2,-4014.9386838375362,0
0.2,-4015.006272825316,0
0.2,-4014.9924813949706,0
0.2,-4014.9990237491065,0
0.2,-4014.966867638236,0
0.2,-4014.994489958241,0
0.2,-4014.9577460889113,0
0.2,-4014.962241361096,0
0.2,-4014.965566255013,0
0.2,-4014.9784682706936,0
0.2,-4014.956467182159,0
0.2,-4014.980044543989,0
0.2,-4015.0096806260112,0
0.2,-4014.995822159733,0
0.2,-4014.9739218703526,0
0.2,-4015.0328034657787,0
0.2,-4014.9920797953455,0
0.2,-4014.975167702261,0
0.2,-4015.0023628224135,0
0.2,-4014.992373710308,0
0.2,-4014.9977294131636,0
0.2,-4014.969598060454,0
0.2,-4014.9995074651347,0
0.2,-4015.011928508078,0
0.2,-4015.0154581706115,0
0.2,-4014.9990237491065,0
0.2,-4014.9867702757656,0
0.2,-4014.9785648881725,0
0.2,-4015.029846427666,0
0.2,-4014.9998053206186,0
0.2,-4015.0152385269053,0
0.2,-4015.012515475187,0
0.2,-4015.03633593137,0
0.2,-4014.9537464480163,0
0.2,-4014.9818575520753,0
0.2,-4015.0123806371607,0
0.2,-4014.984445267366,0
0.2,-4014.9666815729397,0
0.2,-4014.9787534763864,0
0.2,-4014.956689536843,0
0.2,-4015.0208175221733,0
0.2,-4014.9830774574066,0
0.2,-4015.003336305411,0
0.2,-4015.010279215927,0
0.2,-4015.0017088576674,0
0.2,-4015.0245559084187,0
0.2,-4014.9946587471604,0
0.2,-4015.0192489642022,0
0.2,-4014.977904598902,0
0.2,-4014.9607941292084,0
0.2,-4014.994092594366,0
0.2,-4014.999737276597,0
0.2,-4014.971681850313,0
0.2,-4014.9799013418406,0
0.2,-4015.0001287017017,0
0.2,-4014.99302344608,0
0.2,-4014.9736540776184,0
0.2,-4014.971273600319,0
0.2,-4014.945558613553,0
0.2,-4014.9503749639157,0
0.2,-4014.966666674753,0
0.2,-4015.039545859001,0
0.2,-4014.9943348016413,0
