quartile,mean_profit,lambda_may
0.1,-4012.430032811519,0
0.1,-4012.388000880635,0
0.1,-4012.483889416725,0
0.1,-4012.558011404594,0
0.1,-4012.4915336997315,0
0.1,-4012.4103451088235,0
0.1,-4012.5113258079577,0
0.1,-4012.461756651972,0
0.1,-4012.430481168263,0
0.1,-4012.572692329707,0
0.1,-4012.560998507608,0
0.1,-4012.5123138083286,0
0.1,-4012.4459192538147,0
0.1,-4012.438728788515,0
0.1,-4012.459401492683,0
0.1,-4012.491796421479,0
0.1,-4012.5237614896955,0
0.1,-4012.568125754862,0
0.1,-4012.4798354946083,0
0.1,-4012.4453724380287,0
0.1,-4012.4808050844376,0
0.1,-4012.520995027878,0
0.1,-4012.5055741880233,0
0.1,-4012.452894705243,0
0.1,-4012.520059191083,0
0.1,-4012.5219005202084,0
0.1,-4012.5581913328374,0
0.1,-4012.466340896637,0
0.1,-4012.4735538718364,0
0.1,-4012.4377748967095,0
0.1,-4012.5148138271156,0
0.1,-4012.4852264283127,0
0.1,-4012.437692307015,0
0.1,-4012.469744044996,0
0.1,-4012.526462753187,0
0.1,-4012.5797751417113,0
0.1,-4012.501545993475,0
0.1,-4012.453256716567,0
0.1,-4012.504422851621,0
0.1,-4012.576549017342,0
0.1,-4012.5852622501798,0
0.1,-4012.4290369713995,0
0.1,-4012.4801383467407,0
0.1,-4012.391332516448,0
0.1,-4012.5837281551576,0
0.1,-4012.4933473749174,0
0.1,-4012.4187498712968,0
0.1,-4012.552252644724,0
0.1,-4012.4592828931213,0
0.1,-4012.468681255438,0
0.1,-4012.4457242512626,0
0.1,-4012.4903566652656,0
0.1,-4012.561561534416,0
0.1,-4012.4974863242837,0
0.1,-4012.3717143214712,0
0.1,-4012.4196287460927,0
0.1,-4012.449054279099,0
0.1,-4012.4243477577793,0
0.1,-4012.466166168039,0
0.1,-4012.5606914154614,0
0.1,-4012.6057022462505,0
0.1,-4012.530479286637,0
0.1,-4012.4674160786044,0
0.1,-4012.530920396276,0
0.1,-4012.460006635782,0
0.1,-4012.4673105502993,0
0.1,-4012.573479845047,0
