quartile,mean_profit,lambda_may
0.1,-4014.359649877434,0
0.1,-4014.3292763620775,0
0.1,-4014.4032195943405,0
0.1,-4014.378354680761,0
0.1,-4014.4219456498618,0
0.1,-4014.350075666601,0
0.1,-4014.3815014420547,0
0.1,-4014.3582128539374,0
0.1,-4014.4235523825428,0
0.1,-4014.3704970476083,0
0.1,-4014.4363354935376,0
0.1,-4014.3333025798293,0
0.1,-4014.4012292071125,0
0.1,-4014.346776208365,0
0.1,-4014.352826796471,0
0.1,-4014.4141665117845,0
0.1,-4014.417435885519,0
0.1,-4014.100351231051,0
0.1,-4014.3223854116127,0
0.1,-4014.490835041326,0
0.1,-4014.441941634516,0
0.1,-4014.3652294033786,0
0.1,-4014.4309710148855,0
0.1,-4014.363015739753,0
0.1,-4014.344139492025,0
0.1,-4014.35952188612,0
0.1,-4014.440995104293,0
0.1,-4014.0902663480692,0
0.1,-4014.429999496479,0
0.1,-4014.352114705582,0
0.1,-4014.3611501436894,0
0.1,-4014.2956339822003,0
0.1,-4014.354304446007,0
0.1,-4014.3767716914817,0
0.1,-4014.3856908272273,0
0.1,-4014.425955099768,0
0.1,-4014.4196875036882,0
0.1,-4014.4145490793985,0
0.1,-4014.4925711098026,0
0.1,-4014.393821962822,0
0.1,-4014.4515491655607,0
0.1,-4014.4440033069322,0
0.1,-4014.3481691446805,0
0.1,-4014.4441165430203,0
0.1,-4014.3592547759467,0
0.1,-4014.2222961374127,0
0.1,-4014.3020978556133,0
0.1,-4014.4023722503543,0
0.1,-4014.467973393379,0
0.1,-4014.492647492062,0
0.1,-4014.3356522927734,0
0.1,-4014.4232008724975,0
0.1,-4014.4694357525555,0
0.1,-4014.1710711361743,0
0.1,-4014.3946633516584,0
0.1,-4014.2039315454494,0
0.1,-4014.3160991364293,0
0.1,-4014.2281843071705,0
0.1,-4014.3945553164717,0
0.1,-4014.380050638702,0
0.1,-4014.263750449856,0
0.1,-4014.30064725309,0
0.1,-4014.448321733512,0
0.1,-4014.472352351061,0
0.1,-4014.3231465622102,0
0.1,-4014.2393959285514,0
0.1,-4014.3624028236527,0
0.1,-4014.41154067105,0
0.1,-4014.45143310057,0
0.1,-4014.2933149682663,0
0.1,-4014.450286402432,0
0.1,-4014.312204098383,0
0.1,-4014.297589797881,0
0.1,-4014.421023031207,0
0.1,-4014.2714201933454,0
0.1,-4014.3638621069103,0
0.1,-4014.454113810429,0
0.1,-4014.3682545117813,0
0.1,-4014.434186506115,0
0.1,-4014.3645078175523,0
0.1,-4014.4307144694767,0
0.1,-4014.3081012016714,0
0.1,-4014.307223243065,0
0.1,-4014.4264473821954,0
0.1,-4014.368175940691,0
0.1,-4014.4154451491527,0
0.1,-4014.2644463871534,0
0.1,-4014.4397441462265,0
0.1,-4014.4054453172084,0
0.1,-4014.454743455018,0
0.1,-4014.4241136861906,0
0.1,-4014.356549051945,0
0.1,-4014.3971962004434,0
0.1,-4014.290285117776,0
0.1,-4014.412706161032,0
0.1,-4014.4487487229244,0
0.1,-4014.154090520086,0
0.1,-4014.4197935274124,0
