quartile,mean_profit,lambda_may
0.1,-4010.924177618997,0
0.1,-4010.9353266695452,0
0.1,-4010.9353266695452,0
0.1,-4010.924177618997,0
0.1,-4010.9228391412585,0
0.1,-4010.9307940497515,0
0.1,-4010.9274243460386,0
0.1,-4010.935151210253,0
0.1,-4010.9228391412585,0
0.1,-4010.9269608916106,0
0.1,-4010.9322328317658,0
0.1,-4010.9342962152887,0
0.1,-4010.924002180688,0
0.1,-4010.9307940497515,0
0.1,-4010.924525204648,0
0.1,-4010.9307940497515,0
0.1,-4010.9228391412585,0
0.1,-4010.924177618997,0
0.1,-4010.9197064477357,0
0.1,-4010.924177618997,0
0.1,-4010.924177618997,0
0.1,-4010.924177618997,0
0.1,-4010.924177618997,0
0.1,-4010.9269608916106,0
0.1,-4010.924177618997,0
0.1,-4010.922663703223,0
0.1,-4010.924177618997,0
0.1,-4010.9307940497515,0
0.1,-4010.9307940497515,0
0.1,-4010.9225727242633,0
0.1,-4010.9197064477357,0
0.1,-4010.9382482620513,0
0.1,-4010.9307940497515,0
0.1,-4010.9225727242633,0
0.1,-4010.9225727242633,0
0.1,-4010.9269608916106,0
0.1,-4010.9269608916106,0
0.1,-4010.9197064477357,0
0.1,-4010.9342962152887,0
0.1,-4010.9225727242633,0
0.1,-4010.9269608916106,0
0.1,-4010.9307940497515,0
0.1,-4010.9342962152887,0
0.1,-4010.9322328317658,0
0.1,-4010.9225727242633,0
0.1,-4010.9269608916106,0
0.1,-4010.9342962152887,0
0.1,-4010.9274243460386,0
0.1,-4010.9382482620513,0
0.1,-4010.9342962152887,0
0.2,-4010.955910988058,0
0.2,-4010.941223280641,0
0.2,-4010.955884753601,0
0.2,-4010.9607265202944,0
0.2,-4010.937842189972,0
0.2,-4010.963820812757,0
0.2,-4010.960445174922,0
0.2,-4010.9504642568545,0
0.2,-4010.9410256008205,0
0.2,-4010.9438423332167,0
0.2,-4010.941750987728,0
0.2,-4010.9367878776484,0
0.2,-4010.9419918116214,0
0.2,-4010.941606608215,0
0.2,-4010.9474276729425,0
0.2,-4010.950008822594,0
0.2,-4010.931587169874,0
0.2,-4010.931510569924,0
0.2,-4010.935086836547,0
0.2,-4010.937617220133,0
0.2,-4010.941146453701,0
0.2,-4010.9497499125832,0
0.2,-4010.9407210526692,0
0.2,-4010.934579316324,0
0.2,-4010.939496119647,0
0.2,-4010.931592785765,0
0.2,-4010.9643284226113,0
0.2,-4010.9602681765805,0
0.2,-4010.9408170071974,0
0.2,-4010.9471238390424,0
0.2,-4010.9497695412615,0
0.2,-4010.9494938527096,0
0.2,-4010.9515757897466,0
0.2,-4010.92872578672,0
0.2,-4010.959850689081,0
0.2,-4010.9411321332423,0
0.2,-4010.9342364946338,0
0.2,-4010.9551302976383,0
0.2,-4010.931029525236,0
0.2,-4010.9319035736457,0
0.2,-4010.9378507614197,0
0.2,-4010.954306108706,0
0.2,-4010.9507631402284,0
0.2,-4010.952099583313,0
0.2,-4010.9399770139917,0
0.2,-4010.9382989318296,0
0.2,-4010.943193936119,0
0.2,-4010.938031192289,0
0.2,-4010.9414068541773,0
0.2,-4010.9471389941164,0
0.3,-4010.9326862734642,0
0.3,-4010.937019068361,0
0.3,-4010.938452523241,0
0.3,-4010.9320798338345,0
0.3,-4010.9321874940283,0
0.3,-4010.9350057524966,0
0.3,-4010.931576267934,0
0.3,-4010.9287561323,0
0.3,-4010.929119533453,0
0.3,-4010.931027692159,0
0.3,-4010.9360470905654,0
0.3,-4010.932627439329,0
0.3,-4010.930690059482,0
0.3,-4010.933927229424,0
0.3,-4010.9328587396917,0
0.3,-4010.9314239179193,0
0.3,-4010.936333408999,0
0.3,-4010.9332986863606,0
0.3,-4010.9311011290292,0
0.3,-4010.932750996242,0
0.3,-4010.9377344033237,0
0.3,-4010.9363616515843,0
0.3,-4010.9372073696095,0
0.3,-4010.937252169276,0
0.3,-4010.928795904443,0
0.3,-4010.9402839056092,0
0.3,-4010.9348807597967,0
0.3,-4010.932750996242,0
0.3,-4010.931791095363,0
0.3,-4010.934467498043,0
0.3,-4010.936910435076,0
0.3,-4010.9334073196114,0
0.3,-4010.937019068361,0
0.3,-4010.933147248771,0
0.3,-4010.9358437241276,0
0.3,-4010.9329946631215,0
0.3,-4010.9377344033237,0
0.3,-4010.9341222284174,0
0.3,-4010.9418214398142,0
0.3,-4010.9308117210817,0
0.3,-4010.93556395808,0
0.3,-4010.929774522647,0
0.3,-4010.936362391518,0
0.3,-4010.9329189033033,0
0.3,-4010.9309203543175,0
0.3,-4010.9344297952434,0
0.3,-4010.936703579382,0
0.3,-4010.9318628645524,0
0.3,-4010.9353733366625,0
0.3,-4010.933774639578,0
0.4,-4010.9448045801973,0
0.4,-4010.942269750793,0
0.4,-4010.9381341291437,0
0.4,-4010.940292965163,0
0.4,-4010.933975435406,0
0.4,-4010.9430134322306,0
0.4,-4010.9520911089016,0
0.4,-4010.94861385106,0
0.4,-4010.9511774760963,0
0.4,-4010.9525488472755,0
0.4,-4010.955537038007,0
0.4,-4010.9555270067594,0
0.4,-4010.9459127628716,0
0.4,-4010.9546009829373,0
0.4,-4010.9418320454683,0
0.4,-4010.9403463386993,0
0.4,-4010.9413634248854,0
0.4,-4010.9524787073683,0
0.4,-4010.940240680701,0
0.4,-4010.95782099236,0
0.4,-4010.939674442874,0
0.4,-4010.9336962696716,0
0.4,-4010.9428923042688,0
0.4,-4010.9387279012176,0
0.4,-4010.9353588308677,0
0.4,-4010.93759943714,0
0.4,-4010.9408111800876,0
0.4,-4010.9368316163873,0
0.4,-4010.9431153291985,0
0.4,-4010.949602076635,0
0.4,-4010.9388082961855,0
0.4,-4010.9542034210813,0
0.4,-4010.9338024100343,0
0.4,-4010.99124464028,0
0.4,-4010.946270684625,0
0.4,-4010.9527870654306,0
0.4,-4010.9373871662137,0
0.4,-4010.958450724138,0
0.4,-4010.951542824122,0
0.4,-4010.9366922362346,0
0.4,-4010.937160132772,0
0.4,-4010.956018914861,0
0.4,-4010.947589354364,0
0.4,-4010.9494472752554,0
0.4,-4010.9345487762266,0
0.4,-4010.950027862744,0
0.4,-4010.938094826402,0
0.4,-4011.005443175629,0
0.4,-4010.9749882461324,0
0.4,-4010.9411950712783,0
0.5,-4010.9924853485195,0
0.5,-4011.161290920847,0
0.5,-4011.0146498785593,0
0.5,-4011.0699249575755,0
0.5,-4010.9024758256364,0
0.5,-4011.019801509408,0
0.5,-4011.0714376336364,0
0.5,-4011.0313336922995,0
0.5,-4010.9305301804143,0
0.5,-4011.0242236103954,0
0.5,-4010.9991685840964,0
0.5,-4010.966833892513,0
0.5,-4011.063652574711,0
0.5,-4011.069882891896,0
0.5,-4011.0499805060713,0
0.5,-4010.946180317404,0
0.5,-4010.948037068395,0
0.5,-4010.9319218841006,0
0.5,-4011.0501819847236,0
0.5,-4011.009269151813,0
0.5,-4011.0300277382967,0
0.5,-4010.9268499220757,0
0.5,-4011.055934142953,0
0.5,-4011.2137053670135,0
0.5,-4011.056557972771,0
0.5,-4011.04429312415,0
0.5,-4011.052885377863,0
0.5,-4011.0568569279494,0
0.5,-4011.070862882069,0
0.5,-4011.0277330225226,0
0.5,-4010.967423555224,0
0.5,-4011.0963707239257,0
0.5,-4010.9448284723394,0
0.5,-4011.0493907097352,0
0.5,-4011.033213639911,0
0.5,-4010.995058813692,0
0.5,-4011.061201882925,0
0.5,-4011.0911055683705,0
0.5,-4011.1359767213116,0
0.5,-4011.1451965058236,0
0.5,-4010.9939079957735,0
0.5,-4011.064909524946,0
0.5,-4010.9529256156975,0
0.5,-4011.1045863421427,0
0.5,-4011.083941344135,0
0.5,-4011.037435734543,0
0.5,-4011.063434671123,0
0.5,-4011.038046201808,0
0.5,-4011.0015264252243,0
0.5,-4011.1201512596094,0
0.6,-4010.936594814239,0
0.6,-4010.9388458421013,0
0.6,-4010.9341259888465,0
0.6,-4010.932559824256,0
0.6,-4010.9362990177756,0
0.6,-4010.9362990177756,0
0.6,-4010.940453252677,0
0.6,-4010.93115814022,0
0.6,-4010.932478712892,0
0.6,-4010.93085425135,0
0.6,-4010.9398082082334,0
0.6,-4010.9364952809387,0
0.6,-4010.936594814239,0
0.6,-4010.9362990177756,0
0.6,-4010.9387678915373,0
0.6,-4010.932133272861,0
0.6,-4010.932133272861,0
0.6,-4010.9321168177016,0
0.6,-4010.9334374764812,0
0.6,-4010.9375536761236,0
0.6,-4010.9334374764812,0
0.6,-4010.9305078817974,0
0.6,-4010.933735545936,0
0.6,-4010.9322834410746,0
0.6,-4010.932133272861,0
0.6,-4010.9364952809387,0
0.6,-4010.9362990177756,0
0.6,-4010.935864412201,0
0.6,-4010.9321168177016,0
0.6,-4010.934815875079,0
0.6,-4010.9375536761236,0
0.6,-4010.9335949296237,0
0.6,-4010.9388458421013,0
0.6,-4010.9344148036826,0
0.6,-4010.9383936326753,0
0.6,-4010.936594814239,0
0.6,-4010.932133272861,0
0.6,-4010.934277386925,0
0.6,-4010.9334374764812,0
0.6,-4010.934611063759,0
0.6,-4010.9337711503017,0
0.6,-4010.940453252677,0
0.6,-4010.934696543095,0
0.6,-4010.9368316532737,0
0.6,-4010.9521745608454,0
0.6,-4010.9398082082334,0
