Field ID,Year,Sprays,Herbicide Sprays,Fungicide Cost,Herbicide Cost
28,2015,0.0,0,0.0,0.0
29,2015,0.0,0,0.0,0.0
30,2015,1.0,1,81.27717310683369,33.185255755082196
31,2015,1.0,1,81.27717310683369,33.185255755082196
32,2015,1.0,1,81.27717310683369,33.185255755082196
33,2015,1.0,1,54.63927513661882,33.185255755082196
34,2015,1.0,1,54.63927513661882,33.185255755082196
35,2015,1.0,1,54.63927513661882,33.185255755082196
36,2015,1.0,1,54.63927513661882,33.185255755082196
37,2015,0.0,1,0.0,33.185255755082196
38,2015,0.0,1,0.0,33.185255755082196
39,2015,0.0,1,0.0,33.185255755082196
40,2015,0.0,1,0.0,33.185255755082196
41,2015,0.0,1,0.0,33.185255755082196
42,2015,0.0,1,0.0,33.185255755082196
43,2015,0.0,1,0.0,33.185255755082196
44,2015,0.0,1,0.0,33.185255755082196
45,2015,0.0,1,0.0,33.185255755082196
46,2015,0.0,1,0.0,33.185255755082196
49,2015,0.0,1,0.0,33.185255755082196
50,2015,0.0,0,0.0,0.0
51,2015,0.0,1,0.0,33.185255755082196
53,2015,0.0,1,0.0,33.185255755082196
54,2015,0.0,0,0.0,0.0
55,2015,0.0,0,0.0,0.0
56,2015,0.0,0,0.0,0.0
57,2015,0.0,0,0.0,0.0
58,2015,0.0,0,0.0,0.0
59,2015,0.0,0,0.0,0.0
60,2015,0.0,1,0.0,33.185255755082196
61,2015,0.0,1,0.0,33.185255755082196
62,2015,0.0,1,0.0,33.185255755082196
63,2015,0.0,2,0.0,66.37051151016439
64,2015,0.0,1,0.0,33.185255755082196
65,2015,0.0,2,0.0,66.37051151016439
66,2015,0.0,0,0.0,0.0
67,2015,0.0,2,0.0,66.37051151016439
68,2015,0.0,1,0.0,33.185255755082196
69,2015,0.0,0,0.0,0.0
70,2015,0.0,0,0.0,0.0
71,2015,0.0,1,0.0,33.185255755082196
72,2015,0.0,1,0.0,33.185255755082196
73,2015,0.0,1,0.0,33.185255755082196
75,2015,0.0,0,0.0,0.0
76,2015,0.0,1,0.0,33.185255755082196
77,2015,0.0,0,0.0,0.0
78,2015,0.0,1,0.0,33.185255755082196
79,2015,0.0,0,0.0,0.0
80,2015,2.0,0,155.05303330521562,0.0
81,2015,1.0,0,77.52651665260781,0.0
82,2015,0.0,0,0.0,0.0
83,2015,0.0,0,0.0,0.0
84,2015,0.0,0,0.0,0.0
85,2015,0.0,1,0.0,33.185255755082196
86,2015,0.0,0,0.0,0.0
87,2015,0.0,1,0.0,33.185255755082196
88,2015,0.0,2,0.0,66.37051151016439
90,2015,0.0,1,0.0,33.185255755082196
91,2015,0.0,1,0.0,33.185255755082196
92,2015,0.0,1,0.0,33.185255755082196
93,2015,0.0,2,0.0,66.37051151016439
94,2015,0.0,4,0.0,132.74102302032878
95,2015,2.0,0,155.05303330521562,0.0
97,2015,2.0,0,155.05303330521562,0.0
98,2015,0.0,1,0.0,33.185255755082196
100,2015,0.0,1,0.0,33.185255755082196
101,2015,0.0,1,0.0,33.185255755082196
102,2015,0.0,0,0.0,0.0
103,2015,0.0,0,0.0,0.0
104,2015,0.0,1,0.0,33.185255755082196
105,2015,0.0,1,0.0,33.185255755082196
106,2015,0.0,0,0.0,0.0
107,2015,0.0,0,0.0,0.0
109,2015,0.0,0,0.0,0.0
110,2015,0.0,1,0.0,33.185255755082196
111,2015,0.0,2,0.0,66.37051151016439
112,2015,0.0,1,0.0,33.185255755082196
113,2015,0.0,1,0.0,33.185255755082196
114,2015,0.0,1,0.0,33.185255755082196
115,2015,0.0,1,0.0,33.185255755082196
116,2015,0.0,1,0.0,33.185255755082196
117,2015,0.0,1,0.0,33.185255755082196
118,2015,0.0,1,0.0,33.185255755082196
119,2015,0.0,2,0.0,66.37051151016439
120,2015,0.0,0,0.0,0.0
121,2015,0.0,0,0.0,0.0
122,2015,0.0,1,0.0,33.185255755082196
1,2016,0.0,1,0.0,33.185255755082196
2,2016,0.0,1,0.0,33.185255755082196
3,2016,0.0,1,0.0,33.185255755082196
4,2016,0.0,1,0.0,33.185255755082196
5,2016,0.0,1,0.0,33.185255755082196
6,2016,0.0,1,0.0,33.185255755082196
7,2016,0.0,1,0.0,33.185255755082196
8,2016,0.0,1,0.0,33.185255755082196
9,2016,0.0,1,0.0,33.185255755082196
10,2016,0.0,1,0.0,33.185255755082196
11,2016,0.0,1,0.0,33.185255755082196
12,2016,0.0,1,0.0,33.185255755082196
13,2016,0.0,1,0.0,33.185255755082196
14,2016,0.0,1,0.0,33.185255755082196
