Node,Centrality,Centrality_Decile
0,0.06787471202522498,0.1
1,0.07178670245831778,0.1
2,0.08240468986152155,0.1
3,0.1960097873415694,0.4
4,0.10002419545745753,0.1
5,0.20055955083266813,0.4
6,0.3115544295507372,0.6
7,0.1458217846590815,0.2
8,0.13759042502923288,0.2
9,0.33589954703553726,0.7
10,0.13088067354161773,0.2
11,0.16139788232666746,0.3
12,0.22957465895390355,0.4
13,0.4163964057487438,0.8
14,0.28714940808913086,0.6
15,0.28539934799587563,0.6
16,0.2673085074693693,0.5
17,0.13494807303264017,0.2
18,0.18264025010984447,0.3
19,0.23037884050447963,0.4
20,0.3470845802060291,0.7
21,0.4693550552375005,0.8
22,0.3156501255706075,0.6
23,0.7696482869825201,1.0
24,0.5183158449909364,0.9
25,0.38967817372886704,0.7
26,0.5925978705856095,1.0
27,0.42146813862221527,0.8
28,0.7175960897766136,1.0
29,0.49063247405509336,0.9
30,0.5530739301710446,0.9
31,0.5050792372095473,0.9
32,0.39410434692541646,0.8
33,0.3327405734481291,0.7
34,0.36588333075465046,0.7
35,0.5483158789092707,0.9
36,0.3233129546681576,0.6
37,0.6212908847466818,1.0
38,0.6212420358323935,1.0
39,0.4735040603803001,0.8
40,0.4152041893867794,0.8
41,0.1501387110262538,0.2
42,0.15102609724593655,0.2
43,0.058182811618265086,0.1
44,0.16090724106719823,0.3
45,0.0908197515505561,0.1
46,0.17520360345263125,0.3
47,0.1089200675917405,0.1
48,0.0753597417953374,0.1
49,0.22905127316849305,0.4
50,0.23886423516257563,0.5
51,0.11320391696211295,0.2
52,0.1278716199749399,0.2
53,0.05808797685547657,0.1
54,0.29719522395271153,0.6
55,0.22955984926076392,0.4
56,0.18997260389449871,0.3
57,0.255604366206637,0.5
58,0.6872566310929631,1.0
59,0.59679974664353,1.0
60,0.6084670058248554,1.0
61,0.2532680548277857,0.5
62,0.4353721228214162,0.8
63,0.5720445141460513,1.0
64,0.30110336007473376,0.6
65,0.2124084361548742,0.4
66,0.11676906730647939,0.2
67,0.11372241508568622,0.2
68,0.06194709321260049,0.1
69,0.1635159020624023,0.3
70,0.23512711480291643,0.5
71,0.2234086114273417,0.4
72,0.2446870343067569,0.5
73,0.21920248813058704,0.4
74,0.25548442701106816,0.5
75,0.24917880625998287,0.5
76,0.2715492542372885,0.5
77,0.18109346815429148,0.3
78,0.3115038943155715,0.6
79,0.2773779246234895,0.5
80,0.23405052365136503,0.5
81,0.2547784364056554,0.5
82,0.36072942015432313,0.7
83,0.22041264267889604,0.4
84,0.3917499560609586,0.7
85,0.8000613662616226,1.0
86,0.30723611989175426,0.6
87,0.42500827132646624,0.8
88,0.3261562629504287,0.6
89,0.3490121501406552,0.7
90,0.37732926678498396,0.7
91,0.4142505549865433,0.8
92,0.3375735433052052,0.7
93,0.3711973339734124,0.7
94,0.5305829672824097,0.9
95,0.5012959637847627,0.9
96,0.17846050648520864,0.3
97,0.2780474860506216,0.6
98,0.056650895770072845,0.1
99,0.0640467500456504,0.1
100,0.0871904417942401,0.1
101,0.15421254726070274,0.3
102,0.1515101646230655,0.3
103,0.14987775252172822,0.2
104,0.19161358553110908,0.3
105,0.20318137948103607,0.4
106,0.15506430659377796,0.3
107,0.11613862537223535,0.2
108,0.2867455852028487,0.6
109,0.19757840986769992,0.4
110,0.5296964967264922,0.9
111,0.5622825215882274,1.0
112,0.5552633225652951,1.0
113,0.5087349413992841,0.9
114,0.5625949244790507,1.0
115,0.5141804509578539,0.9
116,0.47550397022571406,0.8
117,0.3524165736273009,0.7
118,0.5420176410803973,0.9
119,0.47533862166074614,0.8
120,0.48415664502824685,0.9
121,0.4476927938768607,0.8
