Node,Centrality,Centrality_Decile
0,0.1229305114963048,0.1
1,0.1551931413939103,0.1
2,0.34909663528434576,0.2
3,0.20811240235523495,0.1
4,0.39566840049377705,0.3
5,0.5940412216865824,0.5
6,0.3114322922941861,0.2
7,0.6759475027803162,0.6
8,0.5119910103113087,0.4
9,0.3612108328342342,0.2
10,0.6397743742963764,0.5
11,0.54126901515639,0.4
12,0.5173378973179371,0.4
13,0.8491398157379264,0.7
14,0.5806401633964271,0.5
15,1.047882552863699,0.8
16,0.6620192807010995,0.5
17,0.49654125166619856,0.4
18,0.4691006014852359,0.3
19,0.2405009171033111,0.2
20,0.5467137020013598,0.4
21,0.5975177539320646,0.5
22,0.9103072783057699,0.7
23,1.4147791300386423,1.0
24,0.8502556477205789,0.7
25,0.6835074851323404,0.6
26,0.7017663670223807,0.6
27,1.0962536609273468,0.9
28,0.8000905125147465,0.7
29,1.2191673642132752,1.0
30,1.0252677307852476,0.8
31,0.9969906896311068,0.7
32,0.2889362829229758,0.2
33,0.09472414677925353,0.1
34,0.2925505936933402,0.2
35,0.133022929050826,0.1
36,0.25221526841788783,0.2
37,0.12774508739645293,0.1
38,0.4051637908195849,0.3
39,0.4114212168232462,0.3
40,0.2618050100443139,0.2
41,0.2457448190442339,0.2
42,0.10188137387083158,0.1
43,0.3637751658463709,0.3
44,1.0029440945792187,0.8
45,1.0636825858125034,0.8
46,1.0389772236873047,0.8
47,0.45176278204780207,0.3
48,0.7540786914043055,0.6
49,0.9511673702497206,0.7
50,0.5768843648261403,0.5
51,0.214487167882021,0.1
52,0.206124439487462,0.1
53,0.1113406042900097,0.1
54,0.3292740408440167,0.2
55,0.5051748085139098,0.4
56,0.4906656052462621,0.4
57,0.5443601134179309,0.4
58,0.4292073362531137,0.3
59,0.5317975651019983,0.4
60,0.4681157054133031,0.3
61,0.5189854665395743,0.4
62,0.46075572730640235,0.3
63,0.3981053518773503,0.3
64,0.6602445965553816,0.5
65,1.9345309192555302,1.0
66,0.7210882335821107,0.6
67,0.7582234575251143,0.6
68,1.2111897098805209,1.0
69,0.7024114806839117,0.6
70,0.630886912241607,0.5
71,0.6949817284165626,0.6
72,0.6919743956392135,0.6
73,1.1623257698378622,0.9
74,0.9777034772990136,0.7
75,1.1001794118363892,0.9
76,0.7861989919003424,0.7
77,1.095920802807652,0.9
78,1.1153250816593432,0.9
79,0.8251427810794132,0.7
80,1.4621423334120809,1.0
81,1.4041588393851248,1.0
82,1.3230723183039876,1.0
83,0.5931407545979934,0.5
84,0.5684090521417904,0.5
85,1.047626753779264,0.8
86,1.0866831829482593,0.8
87,1.0191992133656256,0.8
88,1.3211250474171532,1.0
89,1.1589102759708427,0.9
90,1.1060933712504277,0.9
91,1.0664641205772167,0.8
92,1.338524694667122,1.0
93,0.8236886446216896,0.7
94,1.3257853154718535,1.0
95,1.1943957063176358,0.9
96,1.1836308385269843,0.9
97,1.1651068430389642,0.9
98,1.0869904926798823,0.8
