Year,V6 Percent,Initial Probability,Quantile,Mean Profit Percent Change,Sprays in May,Market Demand,Simulation
2014,0.0,5e-05,0.6,-0.3335205885779918,9,high,0
2014,0.0,5e-05,0.6,-0.2574157855763495,10,high,0
2014,0.0,5e-05,0.8,-0.19638246227132988,0,high,0
2014,0.0,5e-05,0.8,-0.19438403913204028,1,high,0
2014,0.0,5e-05,0.8,-0.16982873494207862,2,high,0
2014,0.0,5e-05,0.8,-0.23779854297582928,3,high,0
2014,0.0,5e-05,0.8,-0.2726771492467186,4,high,0
2014,0.0,5e-05,0.8,-0.24337357335750837,5,high,0
2014,0.0,5e-05,0.8,-0.304970019054131,6,high,0
2014,0.0,5e-05,0.8,-0.2447863517918022,7,high,0
2014,0.0,5e-05,0.8,-0.21822752067876255,8,high,0
2014,0.0,5e-05,0.8,-0.12923632255591963,9,high,0
2014,0.0,5e-05,0.8,-0.3601626458905177,10,high,0
2014,0.0,5e-05,1.0,-0.13240679218850968,0,high,0
2014,0.0,5e-05,1.0,-0.0007724593197507695,1,high,0
2014,0.0,5e-05,1.0,-0.2515885744487025,2,high,0
2014,0.0,5e-05,1.0,-0.23647292640637968,3,high,0
2014,0.0,5e-05,1.0,-0.20379592854894474,4,high,0
2014,0.0,5e-05,1.0,-0.5442971337292014,5,high,0
2014,0.0,5e-05,1.0,-0.288137691248038,6,high,0
2014,0.0,5e-05,1.0,-0.22701506345160746,7,high,0
2014,0.0,5e-05,1.0,-0.5480515935110046,8,high,0
2014,0.0,5e-05,1.0,-0.38974572697239884,9,high,0
2014,0.0,5e-05,1.0,-0.4956656246581187,10,high,0
2014,0.0,0.0001,0.2,-0.05645402137108614,0,high,0
2014,0.0,0.0001,0.2,-0.1856067722567076,1,high,0
2014,0.0,0.0001,0.2,-0.14239940919241065,2,high,0
2014,0.0,0.0001,0.2,-0.2679304182622767,3,high,0
2014,0.0,0.0001,0.2,-0.24900313994311044,4,high,0
2014,0.0,0.0001,0.2,-0.5934841301031644,5,high,0
2014,0.0,0.0001,0.2,-0.15964236171800567,6,high,0
2014,0.0,0.0001,0.2,-0.4407632531772986,7,high,0
2014,0.0,0.0001,0.2,-0.4795384945812292,8,high,0
2014,0.0,0.0001,0.2,-0.13149156138300497,9,high,0
2014,0.0,0.0001,0.2,-0.34376919745294066,10,high,0
2014,0.0,0.0001,0.4,-0.1865755266019798,0,high,0
2014,0.0,0.0001,0.4,-0.21029008393920076,1,high,0
2014,0.0,0.0001,0.4,-0.16560571952634304,2,high,0
2014,0.0,0.0001,0.4,-0.2076410899164021,3,high,0
2014,0.0,0.0001,0.4,-0.21291800371181102,4,high,0
2014,0.0,0.0001,0.4,-0.2933226355162622,5,high,0
2014,0.0,0.0001,0.4,-0.19931882127485068,6,high,0
2014,0.0,0.0001,0.4,-0.34616776786077275,7,high,0
2014,0.0,0.0001,0.4,-0.25678037823259664,8,high,0
2014,0.0,0.0001,0.4,-0.4724756688094604,9,high,0
2014,0.0,0.0001,0.4,-0.46302490242499134,10,high,0
2014,0.0,0.0001,0.6,-0.24690621765908577,0,high,0
2014,0.0,0.0001,0.6,-0.1693949963369366,1,high,0
2014,0.0,0.0001,0.6,-0.1072268714456065,2,high,0
2014,0.0,0.0001,0.6,-0.3270644628654089,3,high,0
2014,0.0,0.0001,0.6,-0.18470215186355213,4,high,0
2014,0.0,0.0001,0.6,-0.4848617010847016,5,high,0
2014,0.0,0.0001,0.6,-0.18113150136986583,6,high,0
2014,0.0,0.0001,0.6,-0.47835173745674014,7,high,0
2014,0.0,0.0001,0.6,-0.1928220677339527,8,high,0
2014,0.0,0.0001,0.6,-0.33187506313954157,9,high,0
2014,0.0,0.0001,0.6,-0.4769564588767353,10,high,0
2014,0.0,0.0001,0.8,-0.2754423066870948,0,high,0
2014,0.0,0.0001,0.8,-0.2272114886715991,1,high,0
2014,0.0,0.0001,0.8,-0.23717378325129596,2,high,0
2014,0.0,0.0001,0.8,-0.2949249552356066,3,high,0
2014,0.0,0.0001,0.8,-0.2381601894653788,4,high,0
2014,0.0,0.0001,0.8,-0.4267653510103971,5,high,0
2014,0.0,0.0001,0.8,-0.3886175243697777,6,high,0
2014,0.0,0.0001,0.8,-0.36143882647071923,7,high,0
2014,0.0,0.0001,0.8,-0.3644903283907668,8,high,0
2014,0.0,0.0001,0.8,-0.24927105784067097,9,high,0
2014,0.0,0.0001,0.8,-0.4448851075769443,10,high,0
2014,0.0,0.0001,1.0,0.15544632523227186,0,high,0
2014,0.0,0.0001,1.0,-0.25999964502977124,1,high,0
2014,0.0,0.0001,1.0,-0.5330213501538744,2,high,0
2014,0.0,0.0001,1.0,-0.39821838752265876,3,high,0
2014,0.0,0.0001,1.0,-0.29166930627688525,4,high,0
2014,0.0,0.0001,1.0,-0.2968019470176392,5,high,0
2014,0.0,0.0001,1.0,-0.39991122717536404,6,high,0
2014,0.0,0.0001,1.0,-0.25678441861724705,7,high,0
2014,0.0,0.0001,1.0,-0.5775378587592684,8,high,0
2014,0.0,0.0001,1.0,-0.2959282668173707,9,high,0
2014,0.0,0.0001,1.0,-0.3904438214834746,10,high,0
2014,0.0,0.0005,0.2,-0.15032692561047406,0,high,0
2014,0.0,0.0005,0.2,-0.17942014071971885,1,high,0
2014,0.0,0.0005,0.2,-0.19630285984807636,2,high,0
2014,0.0,0.0005,0.2,-0.2510539255138691,3,high,0
2014,0.0,0.0005,0.2,-0.31549007947137947,4,high,0
2014,0.0,0.0005,0.2,-0.41216116134383973,5,high,0
2014,0.0,0.0005,0.2,-0.44177803842216534,6,high,0
2014,0.0,0.0005,0.2,-0.4354651311280051,7,high,0
2014,0.0,0.0005,0.2,-0.44717743553454714,8,high,0
2014,0.0,0.0005,0.2,-0.4855421131928237,9,high,0
2014,0.0,0.0005,0.2,-0.607567688838341,10,high,0
2014,0.0,0.0005,0.4,-0.26730786516744404,0,high,0
2014,0.0,0.0005,0.4,-0.12672255776276997,1,high,0
2014,0.0,0.0005,0.4,-0.23411264207852683,2,high,0
2014,0.0,0.0005,0.4,-0.36017975928030477,3,high,0
2014,0.0,0.0005,0.4,-0.5522088180109259,4,high,0
2014,0.0,0.0005,0.4,-0.3913346832405914,5,high,0
2014,0.0,0.0005,0.4,-0.5201694516324052,6,high,0
2014,0.0,0.0005,0.4,-0.8716011089171946,7,high,0
2014,0.0,0.0005,0.4,-0.6420998625712894,8,high,0
2014,0.0,0.0005,0.4,-0.5751692681390338,9,high,0
2014,0.0,0.0005,0.4,-0.8467475028112074,10,high,0
2014,0.0,0.0005,0.6,-0.34248263256875217,0,high,0
2014,0.0,0.0005,0.6,-0.24769064876268287,1,high,0
2014,0.0,0.0005,0.6,-0.23274948957854083,2,high,0
2014,0.0,0.0005,0.6,-0.14527718375687415,3,high,0
2014,0.0,0.0005,0.6,-0.5260383010810165,4,high,0
2014,0.0,0.0005,0.6,-0.23679415093746722,5,high,0
2014,0.0,0.0005,0.6,-0.6196791182344238,6,high,0
2014,0.0,0.0005,0.6,-0.7446120408546747,7,high,0
2014,0.0,0.0005,0.6,-0.5487846442360063,8,high,0
2014,0.0,0.0005,0.6,-0.542457749597453,9,high,0
2014,0.0,0.0005,0.6,-0.7829516799081504,10,high,0
2014,0.0,0.0005,0.8,-0.021244917487294658,0,high,0
2014,0.0,0.0005,0.8,-0.20973076195479617,1,high,0
2014,0.0,0.0005,0.8,-0.2661190845210391,2,high,0
2014,0.0,0.0005,0.8,-0.4578688307965282,3,high,0
2014,0.0,0.0005,0.8,-0.5794282970934883,4,high,0
2014,0.0,0.0005,0.8,-0.6428380880740179,5,high,0
2014,0.0,0.0005,0.8,-0.6095538529974074,6,high,0
2014,0.0,0.0005,0.8,-0.4655853912971185,7,high,0
2014,0.0,0.0005,0.8,-0.6978758153701574,8,high,0
2014,0.0,0.0005,0.8,-0.5584946973196344,9,high,0
2014,0.0,0.0005,0.8,-1.0000186448550168,10,high,0
2014,0.0,0.0005,1.0,-0.0887090916279807,0,high,0
2014,0.0,0.0005,1.0,-0.21719123728576334,1,high,0
2014,0.0,0.0005,1.0,-0.2665886128514248,2,high,0
2014,0.0,0.0005,1.0,-0.5297082887736333,3,high,0
2014,0.0,0.0005,1.0,-0.47271170843191984,4,high,0
2014,0.0,0.0005,1.0,-0.7954702142786808,5,high,0
2014,0.0,0.0005,1.0,-0.5150204901515123,6,high,0
2014,0.0,0.0005,1.0,-0.944755018071868,7,high,0
2014,0.0,0.0005,1.0,-0.7294381240212868,8,high,0
2014,0.0,0.0005,1.0,-0.7405258940987386,9,high,0
2014,0.0,0.0005,1.0,-1.1275152415109921,10,high,0
2014,0.0,0.001,0.2,-0.1619442228311385,0,high,0
2014,0.0,0.001,0.2,-0.1713204711125395,1,high,0
2014,0.0,0.001,0.2,-0.29830689466710436,2,high,0
2014,0.0,0.001,0.2,-0.23178689402363964,3,high,0
2014,0.0,0.001,0.2,-0.23717152052626767,4,high,0
2014,0.0,0.001,0.2,-0.42035056477644156,5,high,0
